用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),景点管理列表页常规校验,"1.已登录系统级账号
2.已进入景点列表","1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--选择城市,"1.已登录系统级账号
2.已进入景点管理页面","1.点击“选择城市”输入框
2.选择城市后点击搜索图标","1.弹出下拉城市列表（参照设计稿）
2.搜索出城市下所有景点列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--通过中文选择城市,"1.已登录系统级账号
2.已进入景点管理页面","1.点击“选择城市”输入框
2.输入城市中文名称，选中城市
3.点击搜索图标","1.弹出下拉城市列表（参照设计稿）
2.输入城市后下拉列表内出现符合城市列表
3.搜索出指定城市下素有景点列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--通过拼音选择城市,"1.已登录系统级账号
2.已进入景点管理页面","1.点击“选择城市”输入框
2.输入城市拼音，选中城市
3.点击搜索图标","1.弹出下拉城市列表（参照设计稿）
2.输入拼音后下拉列表内出现符合城市列表
3.搜索出指定城市下素有景点列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--景点等级,"1.已登录系统级账号
2.已进入景点管理页面","1.点击“景点等级”输入框
2.选择景点等级后点击搜索图标","1.弹出下拉景点等级列表
2.搜索出指定等级的所有景点列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--景点名称,"1.已登录系统级账号
2.已进入景点管理页面","1.点击“景点名称、拼音码”输入框
2.输入景点名称后点击搜索图标",1.搜索出所有符合条件的景点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--拼音码,"1.已登录系统级账号
2.已进入景点管理页面","1.点击“景点名称、拼音码”输入框
2.输入拼音码后点击搜索图标",1.搜索出所有符合条件的景点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--全条件搜索,"1.已登录系统级账号
2.已进入景点管理页面","1.选择城市、景点等级、输入景点名称
2.直接点击搜索图标",1.搜索出所有符合条件的景点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),筛选--无条件搜索,"1.已登录系统级账号
2.已进入景点管理页面
3.已搜索出景点结果","1.三个搜索条件置为空
2.直接点击搜索图标",1.搜索出所有景点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),“刷新”按钮,"1.已登录系统级账号
2.已进入景点管理页
3.已搜索出景点结果",1.点击刷新按钮,1.页面显示所有景点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),“添加”按钮,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.查看弹出页","1.弹出添加景点信息新开页面
2.弹出景点添加页，参照ui设计稿",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表内“编辑”,"1.已登录系统级账号
2.已进入景点管理页
3.已有景点信息","1.点击景点列表右侧编辑
2.查看弹出页","1.弹出编辑景点信息新开页面
2.显示添加时景点信息",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表内“图片管理”,"1.已登录系统级账号
2.已进入景点管理页
3.已有景点信息","1.点击景点列表右侧图片管理
2.点击弹出框内“添加图片”
3.选择图片打开
4.保存","1.弹出景点图片管理页面，显示已有图片
2.弹出选择图片页面
3.选择图片显示在列表内
4.保存成功提示用户",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表内“图片管理”--翻页,"1.已登录系统级账号
2.已进入景点管理页
3.已有景点信息","1.点击景点列表右侧图片管理
2.点击弹出框内“添加图片”
3.翻页（《》<>输入）","1.弹出景点图片管理页面
2.弹出选择图片页面
3.翻页成功（参照之前翻页用例）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表内“图片管理”--刷新,"1.已登录系统级账号
2.已进入景点管理页
3.景点相册已更新","1.点击景点列表右侧图片管理
2.点击页面底部刷新","1.弹出景点图片管理页面
2.页面刷新成功，显示最新图片列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表内“删除”--删除,"1.已登录系统级账号
2.已进入景点管理页
3.已有景点信息","1.点击列表右侧删除
2.点击弹出框内“删除”","1.弹出删除景点确认框
2.删除景点成功，列表中无改记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表内“删除”--取消,"1.已登录系统级账号
2.已进入景点管理页
3.已有景点信息","1.点击列表右侧删除
2.点击弹出框内“取消”","1.弹出删除景点确认框
2.景点仍在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有多页景点记录",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有多页景点记录",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有多页景点记录",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有多页景点记录",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有多页景点记录",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有多页景点记录",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有多页景点记录",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理：景点的列表展示，景点的添加/编辑/删除功能(#622),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有多页景点记录",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
