用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),酒店管理列表页常规校验,"1.已登录系统级账号
2.已进入酒店列表","1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--选择城市,"1.已登录系统级账号
2.已进入酒店管理页面","1.点击“选择城市”输入框
2.选择城市","1.弹出下拉城市列表（参照设计稿）
2.搜索出城市下所有酒店列表",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--通过中文选择城市,"1.已登录系统级账号
2.已进入酒店管理页面","1.点击“选择城市”输入框
2.输入城市中文名称，选中城市
3.点击搜索图标","1.弹出下拉城市列表（参照设计稿）
2.输入城市后下拉列表内出现符合城市列表
3.搜索出指定城市下素有酒店列表",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--通过拼音选择城市,"1.已登录系统级账号
2.已进入酒店管理页面","1.点击“选择城市”输入框
2.输入城市拼音，选中城市
3.点击搜索图标","1.弹出下拉城市列表（参照设计稿）
2.输入拼音后下拉列表内出现符合城市列表
3.搜索出指定城市下素有酒店列表",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--酒店等级,"1.已登录系统级账号
2.已进入酒店管理页面","1.点击“酒店等级”输入框
2.选择酒店等级后点击搜索图标","1.弹出下拉酒店等级列表
2.搜索出指定等级的所有酒店列表",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--酒店名称,"1.已登录系统级账号
2.已进入酒店管理页面","1.点击“酒店名称、拼音码”输入框
2.输入酒店名称后点击搜索图标",1.搜索出所有符合条件的酒店列表,3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--拼音码,"1.已登录系统级账号
2.已进入酒店管理页面","1.点击“酒店名称、拼音码”输入框
2.输入拼音码后点击搜索图标",1.搜索出所有符合条件的酒店列表,3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--全条件搜索,"1.已登录系统级账号
2.已进入酒店管理页面","1.选择城市、酒店等级、输入酒店名称
2.直接点击搜索图标",1.搜索出所有符合条件的酒店列表,3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),筛选--无条件搜索,"1.已登录系统级账号
2.已进入酒店管理页面
3.已搜索出酒店结果","1.三个搜索条件置为空
2.直接点击搜索图标",1.搜索出所有酒店列表,3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),“刷新”按钮,"1.已登录系统级账号
2.已进入酒店管理页
3.已搜索出酒店结果",1.点击刷新按钮,1.页面显示所有酒店列表,3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),“添加”按钮,"1.已登录系统级账号
2.已进入酒店管理页","1.点击添加按钮
2.查看弹出页","1.新开添加酒店信息页面
2.新开信息有：酒店名称、酒店简介、省份、城市、区/县、详细地址、附加属性、等级、酒店简介、地图、保存/关闭",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】酒店管理：酒店的添加/编辑/删除功能(#621),列表内“编辑”,"1.已登录系统级账号
2.已进入酒店管理页
3.已有酒店信息","1.点击酒店列表右侧编辑
2.查看弹出页","1.新开编辑酒店信息页面
2.新开信息为已添加《酒店名称、酒店简介、省份、城市、区/县、详细地址、附加属性、等级、酒店简介、地图、保存/关闭》信息",3,功能测试,功能测试阶段
