用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入个人信息页面","1.查看页面显示内容
2.查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）
3.显示账号对应信息，用户名、所属单位、部门、权限等级、角色权限置灰，不允许操作",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),更改真实姓名--保存,"1.已登录系统级账号
2.已进入个人信息页面","1.更改真实姓名（汉字、字母、特俗字符）
2.点击保存",1.保存成功，显示最新修改名称,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),内容置空--保存,"1.已登录系统级账号
2.已进入个人信息页面","1.真实姓名、地址、手机、身份证等可填内容置空
2.点击保存",1.保存失败，提示用户必填项,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),非必填内容置空--保存,"1.已登录系统级账号
2.已进入个人信息页面","1.真实姓名、手机内容更改，其余置空
2.点击保存",1.保存成功，显示最新修改名称,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),手机号为虚拟号段,"1.已登录系统级账号
2.已进入个人信息页面","1.修改手机号码为虚拟号“177”
2.点击保存",1.保存成功,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),手机号错误（号段不存在）,"1.已登录系统级账号
2.已进入个人信息页面","1.修改手机号码错误号段，“11156563561”
2.点击保存",1.保存失败，提示用户手机号不存在,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),手机号长度超过11位,"1.已登录系统级账号
2.已进入个人信息页面","1.修改手机号码多一位，12位数字
2.点击保存",1.保存失败，提示用户手机号长度错误,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),手机号长度小于11位,"1.已登录系统级账号
2.已进入个人信息页面","1.修改手机号码少一位，10位数字
2.点击保存",1.保存失败，提示用户手机号长度错误,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),身份证号码错误,"1.已登录系统级账号
2.已进入个人信息页面","1.修改身份证号码错误
2.点击保存",1.保存失败，提示用户身份证错误,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),身份证号码含有X,"1.已登录系统级账号
2.已进入个人信息页面","1.修改身份证号码为含有X号码
2.点击保存",1.保存成功，显示最新身份证,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),邮箱非法（不含@）,"1.已登录系统级账号
2.已进入个人信息页面","1.取出邮箱地址内“@”
2.点击保存",1.保存失败，提示用户身份证错误,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),电话、紧急联系电话输入非数字,"1.已登录系统级账号
2.已进入个人信息页面",1.电话、紧急联系电话输入非数字,1.无法输入，输入后置空,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】个人信息：个人信息的查看及修改功能(#594),修改密码--密码为纯数字,"1.已登录系统级账号
2.已进入个人信息页面","1.点击修改密码tab页面
2.输入旧密码、新密码（纯数字），保存密码","1.显示修改密码页面（登录名、真实姓名有值，旧密码、新密码为空）
2.弹出二次确认，点击确定后提示修改成功",3,功能测试,功能测试阶段
