用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入品牌管理页面","1. 查看页面显示内容
2. 查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),筛选条件--所属单位,"1.已登录系统级账号
2.已进入品牌管理页面","1.点击“所属单位”选择单位
2.点击搜索","1.所属单位显示为已选择单位名称
2.搜索出该单位下所有品牌",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),搜索--品牌名称,"1.已登录系统级账号
2.已进入品牌管理页面","1.快速搜索栏内输入品牌名称
2.点击搜索",1.搜索出品牌列表（模糊匹配）,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),搜索--品牌简介,"1.已登录系统级账号
2.已进入品牌管理页面","1.快速搜索栏内输入品牌简介内容
2.点击搜索",1.搜索出品牌列表（模糊匹配）,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),搜索--内容为空,"1.已登录系统级账号
2.已进入品牌管理页面
3.已搜索指定品牌","1.清楚快速搜索栏内容
2.点击搜索",1.搜索出该单位下所有品牌,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),选中品牌查看“日志”,"1.已登录系统级账号
2.已进入品牌管理页面","1.点击选中列表内品牌
2.点击“日志”","1.选中指定品牌，底色加深（参照UI）
2.弹出该条品牌的操作日志记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),未选中品牌查看“日志”,"1.已登录系统级账号
2.已进入品牌管理页面",1.直接点击“日志”,1.弹出操作日志记录，无内容,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“刷新”按钮,"1.已登录系统级账号
2.已进入品牌管理页面",1.直接点击“刷新”按钮,1.页面刷新，显示最新品牌列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“添加”按钮,"1.已登录系统级账号
2.已进入品牌管理页面","1.直接点击“添加”按钮
2.查看页面","1.页面显示该单位所有市场信息
2.未保存，对应城市未改变",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),查看“日志”,"1.已登录系统级账号
2.已进入品牌管理页面","1.选择任意单位
2.点击“日志”","1.页面显示该单位对应信息
2.弹出该单位对应操作日志记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“日志”翻页,"1.已登录系统级账号
2.已进入投放城市管理页面
3.单位对应日志有多页","1.选择任意单位
2.点击“日志”
3.翻页操作（《》<>输入）","1.页面显示该单位对应信息
2.弹出该单位对应操作日志记录
3.参照之前翻页用例",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“删除”--取消,"1.已登录系统级账号
2.已进入品牌管理页面
3.列表内有品牌记录","1.直接点击记录右侧“删除”按钮
2.二次确认页内点击“取消”","1.弹出删除品牌页面
2.品牌未删除，页面刷新后品牌仍在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有多页品牌记录",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有多页品牌记录",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有多页品牌记录",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有多页品牌记录",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有多页品牌记录",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有多页品牌记录",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有多页品牌记录",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有多页品牌记录",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“添加”--信息全部填写,"1.已登录系统级账号
2.已进入品牌管理页面","1.直接点击“添加”按钮
2.补全品牌名称、排序、上传文件、是否显示，提交","1.弹出添加品牌页面
2.保存品牌成功，品牌列表内显示最新品牌",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“添加”--更换单位后提交,"1.已登录系统级账号
2.已进入品牌管理页面","1.直接点击“添加”按钮
2.更换单位并补全品牌名称、排序、上传文件、是否显示，提交","1.弹出添加品牌页面
2.保存品牌成功，品牌列表内显示最新品牌，单位为修改后单位",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】品牌管理：品牌的添加/编辑/删除功能(#612),“添加”--品牌名称为空,"1.已登录系统级账号
2.已进入品牌管理页面","1.直接点击“添加”按钮
2.品牌名称为空，其余补全，提交","1.弹出添加品牌页面
2.保存品牌失败，提示品牌名称为必填项",3,功能测试,功能测试阶段
