用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入字典管理页面","1.查看页面显示内容
2.查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）名称左侧图标区分系统/非系统",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),搜索--搜索分组,"1.已登录系统级账号
2.已进入字典管理页面","1.输入搜索分组名称
2.点击右侧搜索",1.获取所有匹配分配列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),搜索--搜索内容为空,"1.已登录系统级账号
2.已进入字典管理页面
3.已搜出部分分组","1.清楚搜索内容
2.点击右侧搜索",1.获取所有分组信息,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),刷新,"1.已登录系统级账号
2.已进入字典管理页面",1.点击顶部右侧刷新按钮,1.获取所有分组信息,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),删除--确认（系统）,"1.已登录系统级账号
2.已进入字典管理页面
3.页面已有系统字典分组",1.点击系统字典右侧删除按钮,"1.弹出删除二次确认按钮
2.删除分组成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),删除--确认（非系统）,"1.已登录系统级账号
2.已进入字典管理页面
3.页面已有非系统字典分组",1.点击非系统字典右侧删除按钮,"1.弹出删除二次确认按钮
2.删除分组成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),删除--取消,"1.已登录系统级账号
2.已进入字典管理页面
3.页面已有字典分组","1.点击系统字典右侧删除按钮
2.弹出框选择取消","1.弹出删除二次确认按钮
2.分组未删除",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),添加,"1.已登录系统级账号
2.已进入字典管理页面",1.点击顶部右侧添加按钮,"1.弹出添加字典分组页面
2.页面有分组名称、级别（非系统级和系统级<默认>）、排序（0<默认>）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),添加--名称未超出50字,"1.已登录系统级账号
2.已进入字典管理页面","1.点击顶部右侧添加按钮
2.输入分组名称未超出50字，保存","1.弹出添加字典分组页面
2.添加分组成功，列表内显示新添加分组",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】字典管理：字典的分组及名词添加/编辑/删除功能(#593),添加--名称为空,"1.已登录系统级账号
2.已进入字典管理页面","1.点击顶部右侧添加按钮
2.未输入分组名称，保存","1.弹出添加字典分组页面
2.添加分组失败，提示用户必填项",3,功能测试,功能测试阶段
