用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),查看页面显示内容布局排版,"1.已登录供应商账号
2.已进入标签管理页面","1.查看页面显示内容
2.查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）--“新增关键词管理模块”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),左侧模块展开、收缩,"1.已登录供应商账号
2.已进入标签管理页面","1.点击左侧所有分组内+
2.点击左侧所有分组内—","1.点击+菜单会展开
2.点击-菜单会收缩",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),查看父级分组标签,"1.已登录供应商账号
2.已进入标签管理页面",1.点击左侧父级分组,1.显示所有该父组下子级所有标签,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),查看子级分组标签,"1.已登录供应商账号
2.已进入标签管理页面",1.点击左侧子级分组,1.显示所有该子级所有标签列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加子级,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在父级右侧
2.点击“新增子级”
3.输入名称、排序，保存","1.显示“新增子级”按钮
2.弹出新增分组弹框
3.保存成功，显示新增子分组",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加子级--名称为空,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在父级右侧
2.点击“新增子级”
3.输入排序，名称为空，保存","1.显示“新增子级”按钮
2.弹出新增分组弹框
3.保存失败，提示用户名称必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加子级--排序为空,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在父级右侧
2.点击“新增子级”
3.输入内容，排序为空，保存","1.显示“新增子级”按钮
2.弹出新增分组弹框
3.保存失败，提示排序必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑子级,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在子级右侧
2.点击编辑按钮
3.更改名称、排序，保存","1.显示“新增子级”按钮
2.弹出编辑分组弹框
3.保存成功，显示已修改内容",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑子级--名称为空,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在父级右侧
2.点击编辑按钮
3.设置名称为空，保存","1.显示“新增子级”按钮
2.弹出编辑分组弹框
3.保存失败，提示用户名称必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑子级--排序为空,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在父级右侧
2.点击编辑按钮
3.设置排序为空，保存","1.显示“新增子级”按钮
2.弹出编辑分组弹框
3.保存失败，提示排序必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),删除子级,"1.已登录供应商账号
2.已进入标签管理页面","1.鼠标放在父级右侧
2.点击删除按钮
3.弹出框点击“是”","1.显示“新增子级”按钮
2.弹出删除分组二次确认弹框
3.删除成功，分组数内无该子级",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮 
2.输入名称、排序、选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--名称为空,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮 
2.未输入名称，输入排序并选择效果样式
3.点击保存","1.弹出添加标签页面
2.保存失败，提示名称必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--名称等于10字,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮 
2.输入名称等于10字，输入排序并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.自动获取10字，保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--名称超出10字,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮 
2.输入名称超出10字，输入排序并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.自动截取前10字，保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--排序为空,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮
2.排序为空，填写名称并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存失败，提示排序为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--排序为0,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮
2.排序为0，填写名称并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--排序为1,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮
2.排序为1，填写名称并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--排序为-1,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮
2.排序为-1，填写名称并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),添加标签--排序为非数字,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“添加”按钮
2.排序为非数字，填写名称并选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存失败，提示排序为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑标签,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮 
2.更改名称小于10字、效果样式
3.点击保存","1.弹出编辑标签页面，显示添加时信息
2.预览样式更新
3.保存成功，标签已更新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑标签--名称为空,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮 
2.未输入名称、选择效果样式
3.点击保存","1.弹出添加标签页面
2.保存失败，提示名称必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑标签--名称等于10字,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮 
2.输入名称等于10字、选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的添加/编辑/删除功能(#597),编辑标签--名称超出10字,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮 
2.输入名称超出10字、选择效果样式
3.点击保存","1.弹出添加标签页面
2.预览样式更新
3.自动截取前10字，保存成功，列表显示新增标签",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的编辑/编辑/删除功能(#597),编辑标签--排序为空,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮
2.排序为空，填写名称并选择效果样式
3.点击保存","1.弹出编辑标签页面
2.预览样式更新
3.保存失败，提示排序为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】标签管理：标签分组编辑及标签的编辑/编辑/删除功能(#597),编辑标签--排序为0,"1.已登录供应商账号
2.已进入标签管理页面","1.点击右侧页面内“编辑”按钮
2.排序为0，填写名称并选择效果样式
3.点击保存","1.弹出编辑标签页面
2.预览样式更新
3.保存成功，列表显示新增标签",3,功能测试,功能测试阶段
