用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),查看班车管理页面显示内容布局排版,"1.已登录系统级账号
2.已进入出发地--班车管理页面","1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),快速搜索，完整匹配“始发站”,"1.已登录系统级账号
2.已进入出发地--班车管理页面","1.输入已存在完整“始发站”名称
2.点击搜索",1.列出指定出“始发站”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),快速搜索，模糊匹配“始发站”,"1.已登录系统级账号
2.已进入出发地--班车管理页面","1.输入已存在不全“始发站”名称
2.点击搜索",1.列出所有符合“始发站”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),快速搜索，输入框内无搜索内容,"1.已登录系统级账号
2.已进入出发地--班车管理页面","1.清空输入框内容
2.点击搜索",1.搜索出所有“始发站”列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),底部“刷新”按钮,"1.已登录系统级账号
2.已进入出发地--班车管理页面",1.点击刷新按钮,"1.页面出现刷新跳转过程
2.跳转结束后显示所有班车列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),选择“去程”筛选,"1.已登录系统级账号
2.已进入出发地--班车管理页面",1.页面顶行选择“去程返程”,1.获取所有去程类型的班车列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),选择“返程”筛选,"1.已登录系统级账号
2.已进入出发地--班车管理页面",1.页面顶行选择“返程”,1.获取所有返程类型的班车列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),“添加”按钮跳转,"1.已登录系统级账号
2.已进入出发地--班车管理页面","1.点击页面右侧“添加”按钮
2.查单弹出框内容","1.页面弹出添加班车策略信息
2.内容依次为：出发时间、交通方式、往返情况、时差、结算价、起（始）点站、开始时间、结束时间、周几有效",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),点击“编辑”按钮,"1.已登录系统级账号
2.已进入出发地--班车管理页面","1.点击页面右侧“编辑”按钮
2.查单弹出框内容","1.页面弹出已添加班车策略信息
2.内容依次为：出发时间、交通方式、往返情况、时差、结算价、起（始）点站、开始时间、结束时间、周几有效",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理-班车管理：班车的添加/编辑/删除功能(#618),点击“删除”按钮，选删除,"1.已登录系统级账号
2.列表内有已添加出发地信息","1.点击页面右侧“删除”按钮
2.点击新弹窗“删除”","1.页面弹出删除班车二次确认页面
2.提示删除出发地成功",3,功能测试,功能测试阶段
