用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),查看页面显示内容布局排版,已登录系统级账号,"1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，完整匹配“出发地点”名称,已登录系统级账号,"1.输入已存在完整“出发地点”名称
2.点击搜索",1.列出指定出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，模糊匹配“出发地点”名称,已登录系统级账号,"1.输入已存在不全“出发地点”名称
2.点击搜索",1.列出所有符合出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，输入框内无搜索内容,已登录系统级账号,"1.清空输入框内容
2.点击搜索",1.搜索出所有出发地点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，完整匹配“类型”,已登录系统级账号,"1.输入已存在完整“类型”名称
2.点击搜索",1.列出指定类型的出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，模糊匹配“类型”,已登录系统级账号,"1.输入已存在不全“类型”名称
2.点击搜索",1.列出所有符合的出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，完整匹配“拼音码”,已登录系统级账号,"1.输入已存在完整“拼音码”
2.点击搜索",1.列出对应“拼音码”的出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),快速搜索，模糊匹配“拼音码”,已登录系统级账号,"1.输入已存在不全“拼音码”
2.点击搜索",1.列出所有符合的出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),顶部编辑右侧“刷新”按钮,"1.已登录系统级账号
2.用户已经搜索出结果",1.点击刷新按钮,"1.页面出现刷新跳转过程
2.跳转结束后显示所有出发地点结果列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),选择类型筛选,1.已登录系统级账号,1.页面顶行选择类型,1.获取所有指定类型出发地点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),点击“添加”按钮,1.已登录系统级账号,"1.点击页面右侧“添加”按钮
2.查单弹出框内容","1.页面弹出添加出发地信息页面
2.内容依次为：出发地点、类型、省份、城市、区/县",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),点击“编辑”按钮,"1.已登录系统级账号
2.列表内有已添加出发地信息","1.点击页面右侧“编辑”按钮
2.查单弹出框内容","1.页面弹出编辑出发地信息页面
2.内容依次为已添加内容：出发地点、类型、省份、城市、区/县",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),点击“删除”按钮，选择是,"1.已登录系统级账号
2.列表内有已添加出发地信息","1.点击页面右侧“删除”按钮
2.点击新弹窗“是”","1.页面弹出删除出发地二次确认页面
2.提示删除出发地成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),点击“删除”按钮，选择否,"1.已登录系统级账号
2.列表内有已添加出发地信息","1.点击页面右侧“删除”按钮
2.点击新弹窗“否”","1.页面弹出删除出发地二次确认页面
2.页面没有改变",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】出发地管理：出发地的添加/编辑/删除功能(#617),点击“班车管理”按钮,"1.已登录系统级账号
2.列表内有已添加出发地信息","1.点击页面右侧“班车管理”按钮
2.查单页面内容","1.页面跳转到班车管理页面
2.参照UI设计稿校验",3,功能测试,功能测试阶段
