用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),图片库页面常规校验,1.已登录系统级账号,"1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，完整匹配“图片名称”,1.已登录系统级账号,"1.输入已存在完整“图片名称”名称
2.点击搜索",1.列出指定出“图片名称”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，模糊匹配“图片名称”,1.已登录系统级账号,"1.输入已存在不全“图片名称”名称
2.点击搜索",1.列出所有符合“图片名称”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，完整匹配“资源名称”,1.已登录系统级账号,"1.输入已存在完整“资源名称”名称
2.点击搜索",1.列出指定出“资源名称”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，模糊匹配“资源名称”,1.已登录系统级账号,"1.输入已存在不全“资源名称”名称
2.点击搜索",1.列出所有符合“资源名称”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，完整匹配“地点”,1.已登录系统级账号,"1.输入已存在完整“地点”名称
2.点击搜索",1.列出指定出“地点”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，模糊匹配“地点”,1.已登录系统级账号,"1.输入已存在不全“地点”名称
2.点击搜索",1.列出所有符合“地点”结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),快速搜索，输入框内无搜索内容,1.已登录系统级账号,"1.清空输入框内容
2.点击搜索",1.搜索出所有图片相册列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部“刷新”按钮,"1.已登录系统级账号
2.已有搜索结果",1.点击刷新按钮,"1.页面出现刷新跳转过程
2.跳转结束后显示所有相册列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“资源选择”按钮，酒店,"1.已登录系统级账号
2.已经进入图片管理页面","1.点击资源选择
2.选择酒店
3.选择省份
4.选择具体酒店","1.跳转出酒店/景点
2.跳转出省份列表
3.跳转出酒店列表
4.列表内出现酒店相册",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“资源选择”按钮，景点,"1.已登录系统级账号
2.已经进入图片管理页面","1.点击资源选择
2.选择景点
3.选择省份
4.选择具体景点","1.跳转出酒店/景点
2.跳转出省份列表
3.跳转出景点列表
4.列表内出现景点相册",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“上传图片”按钮，有相册,"1.已登录系统级账号
2.已经进入图片管理页面
3.相册列表有相册",1.点击“上传图片”,"1.跳转到添加图片页面
2.上传到和名称框内显示第一个相册信息",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“上传图片”按钮，无相册,"1.已登录系统级账号
2.已经进入图片管理页面
3.相册列表为空",1.点击“上传图片”,"1.跳转到添加图片页面
2.上传到和名称框内显示“请选择”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有多页相册",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有多页相册",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有多页相册",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有多页相册",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有多页相册",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有多页相册",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有多页相册",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有多页相册",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册顶部“编辑”--名称未超出20字,"1.已登录系统级账号
2.列表内已有相册","1.点击相册“V”图标
2.选择“编辑”
3.修改名称，未超出20字，保存","1.出现下拉“编辑”和“删除”
2.跳出编辑相册名称弹框
3.保存成功，列表相册名称更新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册顶部“编辑”--名称为20字,"1.已登录系统级账号
2.列表内已有相册","1.点击相册“V”图标
2.选择“编辑”
3.修改名称为20字，保存","1.出现下拉“编辑”和“删除”
2.跳出编辑相册名称弹框
3.保存成功，列表相册名称更新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册顶部“编辑”-名称超出20字,"1.已登录系统级账号
2.列表内已有相册","1.点击相册“V”图标
2.选择“编辑”
3.修改名称，超出20字，保存","1.出现下拉“编辑”和“删除”
2.跳出编辑相册名称弹框
3.自动截取前20字，保存成功，列表相册名称更新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册顶部“编辑”--名称为空,"1.已登录系统级账号
2.列表内已有相册","1.点击相册“V”图标
2.选择“编辑”
3.修改名称为空，保存","1.出现下拉“编辑”和“删除”
2.跳出编辑相册名称弹框
3.保存失败，提示用户名称必填",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册顶部“删除”--“删除”,"1.已登录系统级账号
2.列表内已有相册","1.点击相册“V”图标
2.选择“删除”
3.弹出框选择“删除”","1.出现下拉“编辑”和“删除”
2.跳出删除相册二次确认弹框
3.删除相册成功，列表内相册已去除",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册顶部“删除”--“取消”,"1.已登录系统级账号
2.列表内已有相册","1.点击相册“V”图标
2.选择“删除”
3.弹出框选择“取消”","1.出现下拉“编辑”和“删除”
2.跳出删除相册二次确认弹框
3.删除未删除，列表内相册仍存在",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),鼠标点击相册,"1.已登录系统级账号
2.已经进入图片管理页面",1.选择一个相册并点击,1.跳转到相册详情页面,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),相册详情页常规校验,"1.已登录系统级账号
2.已进入相册详情页","1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“上传图片”,"1.已登录系统级账号
2.已进入相册详情页",1.点击“上传图片”,"1.跳转到添加图片页面
2.上传到和名称框内显示该相册信息
3.列表内显示“添加图片”图标",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“批量删除”，选择图片删除,"1.已登录系统级账号
2.已进入相册详情页","1.点击“批量删除”
2.选择图片
3.点击删除
4.点击确定","1.跳转到添加删除图片页面
2.勾选图片成功
3.删除图片成功
4.显示图片列表，已删除图片不显示",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部左侧“批量删除”，未选择图片删除,"1.已登录系统级账号
2.已进入相册详情页","1.点击“批量删除”
2.未选择图片
3.点击删除","1.跳转到添加删除图片页面
2.删除图片失败，跳出提示信息",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),图片右下角删除“图标”,"1.已登录系统级账号
2.已进入相册详情页","1.点击图片右下角删除图标
2.点击确定","1.删除图片成功
2.显示图片列表，已删除图片不显示",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),图片右下角编辑“图标”--未超出50字,"1.已登录系统级账号
2.已进入相册详情页","1.点击图片右下角编辑图标
2.修改名称未超出50字，点击确定","1.跳转出图片名称修改弹框
2.保存图片名称成功
3.列表内显示最新修改图片名称",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),图片右下角编辑“图标”--等于50字,"1.已登录系统级账号
2.已进入相册详情页","1.点击图片右下角编辑图标
2.修改名称为50字，点击确定","1.跳转出图片名称修改弹框
2.保存图片名称成功
3.列表内显示最新修改图片名称",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),图片右下角编辑“图标”--超出50字,"1.已登录系统级账号
2.已进入相册详情页","1.点击图片右下角编辑图标
2.修改名称超出50字，点击确定","1.跳转出图片名称修改弹框
2.自动截取前05字，保存图片名称成功
3.列表内显示最新修改图片名称",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】图片库管理：图片上传，相册编辑/删除功能(#620),顶部“返回”按钮,"1.已登录系统级账号
2.已进入相册详情页",1.点击返回按钮,1.返回图片库管理界面,3,功能测试,功能测试阶段
