用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),查看页面显示内容布局排版,已登录系统级账号,"1. 查看页面显示内容
2. 查看页面布局排版","1. 显示文案正确，完整
2. 布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),快速搜索，完整匹配站点名称,已登录系统级账号,"1.输入已存在完整站点名称
2.点击搜索",1.列出符合结果的站点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),快速搜索，模糊匹配站点名称,已登录系统级账号,"1.输入已存在模糊站点名称
2.点击搜索",1.列出所有符合结果的站点结果列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),快速搜索，输入框内无搜索内容,已登录系统级账号,"1.清空输入框内容
2.点击搜索",1.搜索出所有站点列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),顶部编辑左侧“刷新”按钮,"1.已登录系统级账号
2.用户已经搜索出结果",1.点击刷新按钮,"1.页面出现刷新跳转过程
2.跳转结束后显示所有站点列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),点击“添加”按钮,1.已登录系统级账号,"1.页面顶行“添加”按钮
2.查单弹出框内容","1.页面弹出添加站点添加框
2.内容依次为：站点名称、交通方式、三字编码、省份、城市、区/县",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),点击“编辑”按钮,"1.已登录系统级账号
2.列表内有已添加始发站信息","1.点击页面右侧“编辑”按钮
2.查单弹出框内容","1.页面弹出编辑站点添加框
2.内容依次为已添加内容：站点名称、交通方式、三字编码、省份、城市、区/县",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),点击“删除”按钮，选择是,"1.已登录系统级账号
2.列表内有已添加始发站信息","1.点击页面右侧“删除”按钮
2.点击新弹窗“是”","1.页面弹出删除站点二次确认页面
2.提示删除站点成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),点击“删除”按钮，选择否,"1.已登录系统级账号
2.列表内有已添加始发站信息","1.点击页面右侧“删除”按钮
2.点击新弹窗“否”","1.页面弹出删除站点二次确认页面
2.页面没有改变",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),点击“地图”按钮,"1.已登录系统级账号
2.列表内有已添加始发站信息",1.点击页面右侧“地图”按钮,"1.页面弹出百度地图弹窗
2.页面显示搜索、经度、纬度、大小、保存按钮、地图",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有已添加多页始发站信息",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),添加功能--保存，名称包含汉字、数字、字母、特俗字符,"1.已登录系统级账号
2.已点开添加弹窗","1.输入未重复站点名称（杭州_hangzhou_123@），其余填写完整
2.点击保存","1.提示保存成功
2.新增站点已在列表中展示",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),添加功能--保存，名称长度为20字,"1.已登录系统级账号
2.已点开添加弹窗","1.输入未重复站点名称（长度为20字）、选择交通方式、三字节码、省市区
2.点击保存","1.提示保存成功
2.新增站点已在列表中展示",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),添加功能--保存，三字编码为空,"1.已登录系统级账号
2.已点开添加弹窗","1.输入未重复站点名称、选择交通方式、三字节码为空、选择省市区
2.点击保存","1.提示保存成功
2.新增站点已在列表中展示",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),添加功能--取消,"1.已登录系统级账号
2.已点开添加弹窗","1.输入未重复站点名称、选择交通方式、三字节码、省市区
2.点击取消","1.弹出框直接关闭
2.站点列表没有变化",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),添加功能--点击右上角“X”,"1.已登录系统级账号
2.已点开添加弹窗","1.输入未重复站点名称、选择交通方式、三字节码、省市区
2.点击右顶部""X""","1.弹出框直接关闭
2.站点列表没有变化",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】始发站管理：始发站的添加/编辑/删除功能(#619),添加功能--保存，名称重复,"1.已登录系统级账号
2.已点开添加弹窗","1.输入已存在站点名称、选择交通方式、三字节码、省市区
2.点击保存","1.提示站点名称已重复
2.点击弹窗确定按钮后页面停留在添加弹出框页面",3,功能测试,功能测试阶段
