用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--填写所有信息,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.输入/选择景点名称、景点简称、景点排序、景点电话、景点属性、省份、城市、区/县、详细地址、附加属性、开放时间、景点等级、景点简介、地图、景区介绍、添加图片
3.点击保存","1.弹出添加景点信息页面
2.保存景点成功，景点列表内显示新添加景点",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--仅填写必填信息,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.输入/选择景点名称、景点属性、省份、城市、区/县、景点等级点击保存","1.弹出添加景点信息页面
2.保存景点成功，景点列表内显示新添加景点",3,功能测试,功能测试阶段
,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--地图,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.点击地图
3.设置位置，保存","1.弹出添加景点信息页面
2.弹出地图设置页面
3.景点位置信息保存成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--景点名称为空,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.景点名称为空，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存景点失败，提示用户景点名称为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--景区属性为空,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.景点属性为空，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存景点失败，提示用户景区属性为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--省份为空,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.省份设置为空，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存景点失败，提示用户省份为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--市为空,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.市设置为空，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存景点失败，提示用户市为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--区/县为空,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.区/县设置为空，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存景点失败，提示区/县为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--景点等级为空,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.等级设置为空，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存景点失败，提示景点等级为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),资源中心(#188),【资源中心】景点管理-基本信息：景点基本信息的添加/编辑功能(#623),添加景点--景点名称为20字,"1.已登录系统级账号
2.已进入景点管理页","1.点击添加按钮
2.景点名称为20字数，其余填写正确，点击保存","1.弹出添加景点信息页面
2.保存成功",3,功能测试,功能测试阶段
