用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入广告管理页面","1. 查看页面显示内容
2. 查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),筛选条件--广告位置,"1.已登录系统级账号
2.已进入广告管理页面","1.点击页面顶部广告位置
2.选择一个广告位置","1.下拉展示广告位置列表
2.筛选该广告位置对应的广告列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),筛选条件--快速搜索--广告名称（回车）,"1.已登录系统级账号
2.已进入广告管理页面","1. 快速搜索框内输入“广告名称”内容
2. 点击键盘回车键",1.搜索出对应的广告列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),筛选条件--快速搜索--广告名称（回车）,"1.已登录系统级账号
2.已进入广告管理页面","1. 快速搜索框内输入“广告名称”内容
2. 点击搜索",1.搜索出对应的广告列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),筛选条件--快速搜索--广告说明,"1.已登录系统级账号
2.已进入广告管理页面","1. 快速搜索框内输入“广告说明”内容
2. 点击搜索",1.搜索出对应的广告列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),筛选条件--快速搜索--投放城市,"1.已登录系统级账号
2.已进入广告管理页面","1. 快速搜索框内输入“城市名称”内容
2. 点击搜索",1.搜索出对应的广告列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),刷新,"1.已登录系统级账号
2.已进入广告管理页面
3.已设置广告位置、搜索内容",1.点击页面顶部右侧“刷新”按钮,"1.页面刷新，广告位置、快速搜索内容重置
2.获取所有广告列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--向右翻页>,"1.已登录系统级账号
2.列表内有多页广告记录",1.点击列表底部向右翻页>,1.列表向右翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--向左翻页<,"1.已登录系统级账号
2.列表内有多页广告记录",1.点击列表底部向左翻页<,1.列表向左翻一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--向右翻页》,"1.已登录系统级账号
2.列表内有多页广告记录",1.点击列表底部向右翻页》,1.列表向右翻到最大页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--向左翻页《,"1.已登录系统级账号
2.列表内有多页广告记录",1.点击列表底部向左翻页《,1.列表向左翻到第一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--指定翻页（小于最大页）,"1.已登录系统级账号
2.列表内有多页广告记录",1.页数内输入小于最大页数整数,1.直接跳转到指定页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--指定翻页（等于最大页）,"1.已登录系统级账号
2.列表内有多页广告记录",1.页数内输入最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--指定翻页（大于最大页）,"1.已登录系统级账号
2.列表内有多页广告记录",1.页数内输入大于最大页数整数,1.直接跳转到最后一页,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),列表底部--指定翻页（非数字）,"1.已登录系统级账号
2.列表内有多页广告记录",1.页数内输入大写数字,1.不可输入,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--广告信息全部填写,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.选择/填写广告位置、有效日期、投放范围、广告名称、链接地址、其他内容、文件、广告说明、打开类型、是否显示、排序位置，保存","1.弹出添加品广告页面
2.保存广告成功，列表内显示该条广告",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--未选择广告位置,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.广告位置未选择，其余填写正常，保存","1.弹出添加品广告页面
2.保存广告失败，提示用户“请选择广告位置”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--仅选择广告位置，其余默认,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.选择广告位置，其余默认，保存","1.弹出添加品广告页面
2.保存广告成功，列表内显示该条广告",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--有效开始时间=结束时间,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.选择广告位置，开始、结束时间相同，保存","1.弹出添加品广告页面
2.保存广告成功，列表内显示该条广告",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--有效开始时间<结束时间,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.选择广告位置，开始时间小于结束时间，保存","1.弹出添加品广告页面
2.保存广告成功，列表内显示该条广告",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--有效开始时间>结束时间,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.选择广告位置，开始时间大于结束时间，保存","1.弹出添加品广告页面
2.保存广告失败，提示用户“开始时间不能大于结束时间”",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--投放范围不选择,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.投放范围不选择，其余填写完整，保存","1.弹出添加品广告页面
2.保存广告成功，列表内显示该条广告",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--投放范围全选,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.投放范围全选，其余填写完整，保存","1.弹出添加品广告页面
2.保存广告成功，列表内显示该条广告",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】广告管理：广告的添加/编辑/删除功能(#598),“添加”--广告名称小于100字,"1.已登录系统级账号
2.已进入广告管理页面","1.直接点击“添加”按钮
2.广告名称小于100字，其余填写完整，保存","1.弹出添加品广告页面
2.列表内显示该条广告",3,功能测试,功能测试阶段
