用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入权限管理页面","1.查看页面显示内容
2.查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),筛选--所属单位,"1.已登录系统级账号
2.已进入权限管理页面","1.点击所属单位选择框
2.选择任一单位","1.弹出所有单位下拉列表
2.获取所有该单位对应角色列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),快速搜索--编号,"1.已登录系统级账号
2.已进入权限管理页面",1.输入角色编号，点击搜索,1.获取指定编号的角色,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),快速搜索--角色名称,"1.已登录系统级账号
2.已进入权限管理页面",1.输入角色名称，点击搜索,1.获取指定角色名称的角色,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),刷新,"1.已登录系统级账号
2.已进入权限管理页面","1.输入角色编号/角色名称，点击搜索
2.点击搜索右侧“刷新”","1.获取指定角色名称的角色
2.搜索内容置空
3.获取单位下所有角色列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),日志--未选中角色,"1.已登录系统级账号
2.已进入权限管理页面",1.未选角色，点击搜索右侧“日志”,1.提示用户先选中角色,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),日志--已选中角色,"1.已登录系统级账号
2.已进入权限管理页面",1.选中一条角色，点击搜索右侧“日志”,1.获取该角色下所有操作日志（参照UI）,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加,"1.已登录系统级账号
2.已进入权限管理页面",1.点击日志右侧“添加”按钮,1.弹出添加角色页面,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑,"1.已登录系统级账号
2.已进入权限管理页面",1.点击角色列表右侧“编辑”按钮,1.弹出编辑角色页面,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),删除--是,"1.已登录系统级账号
2.已进入权限管理页面","1.点击角色列表右侧“删除”按钮
2.点击“是”","1.弹出删除角色二次确认页面
2.删除角色成功，页面刷新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),删除--否,"1.已登录系统级账号
2.已进入权限管理页面","1.点击角色列表右侧“删除”按钮
2.点击“否”","1.弹出删除角色二次确认页面
2.关闭弹框成功，角色未刷新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),删除--“X”关闭,"1.已登录系统级账号
2.已进入权限管理页面","1.点击角色列表右侧“删除”按钮
2.点击弹框右顶“X”关闭","1.弹出删除角色二次确认页面
2.关闭弹框成功，角色未刷新",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),点击角色名称跳转编辑页面,"1.已登录系统级账号
2.已进入权限管理页面",1.点击角色列表内角色名称,1.弹出编辑角色页面,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色（角色编号小于10，角色名称小于50，备注未超300）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.输入角色编号、排序、角色名称、备注说明、勾选权限点后点击保存","1.弹出添加角色页面
2.保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色（角色编号等于10位）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.角色编号内输入等于10字，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色（角色编号超出10位）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.角色编号内输入超出10字，其余填写完整。点击保存","1.弹出添加角色页面
2.自动截取编号前10位，保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色（角色名称等于50）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.角色名称内输入50字，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色（角色名称超出50）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.角色名称内输入超出50字，其余填写完整。点击保存","1.弹出添加角色页面
2.自动截取名称前50位，保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--未输入角色编号,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.未输入角色编号，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色失败，提示角色编号为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--未输入角色名称,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.未输入角色名称，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色失败，提示角色编号为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--未输入排序,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.未输入排序，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色失败，提示排序为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--未输入备注说明,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.未输入备注说明，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--未勾选权限点,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.未勾选权限点，其余填写完整。点击保存","1.弹出添加角色页面
2.保存角色成功，新增角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--返回,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击右上角“返回”按钮","1.弹出添加角色页面
2.返回角色列表页",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--备注超出300字,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.备注说明内输入超出300字，其余填写完整。点击保存","1.弹出添加角色页面
2.自动截取前300字，保存角色成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--全选权限点,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击“全选”按钮，其余填写完整，保存","1.弹出添加角色页面
2.选中所有权限点，保存成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--全消权限点,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击“全选”按钮
3.再次点击“全消”，其余填写完整，保存","1.弹出添加角色页面
2.选中所有权限点
3.所有权限点未选中，保存成功",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--展开,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击“展开”","1.弹出添加角色页面
2.展开所有权限点",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--收起,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击“收起”","1.弹出添加角色页面
2.收起所有权限点",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--点击模块权限点“<”,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击模块权限点“<”","1.弹出添加角色页面
2.展开模块对应权限点",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),添加角色--点击模块权限点“^”,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“添加”按钮
2.点击模块权限点“^”","1.弹出添加角色页面
2.收起模块对应权限点",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色（角色编号小于10，角色名称小于50，备注未超300）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.输入角色编号、排序、角色名称、备注说明、勾选权限点后点击保存","1.弹出编辑角色页面
2.保存角色成功，角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色（角色编号输入10位）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.角色编号内输入10字，其余填写完整。点击保存","1.弹出编辑角色页面
2.保存角色成功，角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色（角色编号超出10位）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.角色编号内输入超出10字，其余填写完整。点击保存","1.弹出编辑角色页面
2.自动截取编号前10位，保存角色成功，角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色（角色名称输入50）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.角色名称内输入50字，其余填写完整。点击保存","1.弹出编辑角色页面
2.自动截取名称前50位，保存角色成功，角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色（角色名称超出50）,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.角色名称内输入超出50字，其余填写完整。点击保存","1.弹出编辑角色页面
2.自动截取名称前50位，保存角色成功，角色显示在列表内",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色--未输入角色编号,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.未输入角色编号，其余填写完整。点击保存","1.弹出编辑角色页面
2.保存角色失败，提示角色编号为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色--未输入角色名称,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.未输入角色名称，其余填写完整。点击保存","1.弹出编辑角色页面
2.保存角色失败，提示角色编号为必填项",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】权限管理：角色的新建及赋权功能(#585),编辑角色--未输入排序,"1.已登录系统级账号
2.已进入权限管理页面","1.点击日志右侧“编辑”按钮
2.未输入排序，其余填写完整。点击保存","1.弹出编辑角色页面
2.保存角色失败，提示排序为必填项",3,功能测试,功能测试阶段
