用例编号,所属产品,所属模块,相关需求,用例标题,前置条件,步骤,预期,优先级,用例类型,适用阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),查看页面显示内容布局排版,"1.已登录系统级账号
2.已进入资讯管理页面","1.查看页面显示内容
2.查看页面布局排版","1.显示文案正确，完整
2.布局排版合理（参照UI设计图）",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),筛选--类型,"1.已登录系统级账号
2.已进入资讯管理页面","1.点击类型选择框
2.选择一个类型","1.显示所有类型列表
2.显示出该类型下所有的资讯列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),筛选--快速搜索（标题）,"1.已登录系统级账号
2.已进入资讯管理页面","1.点击快速搜索框
2.输入标题，点击搜索",1.获取符合标题的所有资讯列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),筛选--快速搜索（关键字）,"1.已登录系统级账号
2.已进入资讯管理页面","1.点击快速搜索框
2.输入关键字，点击搜索",1.获取符合关键字的所有资讯列表,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),刷新,"1.已登录系统级账号
2.已进入资讯管理页面","1.选择类型、搜索框输入内容搜索
2.点击右侧“刷新”按钮","1.获取符合条件的所有资讯列表
2.类型、搜索框重置，获取所有资讯列表",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),日志--选中资讯,"1.已登录系统级账号
2.已进入资讯管理页面","1.选中一条资讯
2.点击顶部右侧“日志”按钮","1.选中资讯底色加深
2.弹出系统日志查看页面，参照UI",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),日志--选中资讯,"1.已登录系统级账号
2.已进入资讯管理页面",1.未选中资讯，点击右侧日志,1.提示用户必须先选中资讯记录,3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),日志--翻页,"1.已登录系统级账号
2.已进入资讯管理页面","1.选中一条资讯
2.点击顶部右侧“日志”按钮
3.翻页操作（参照其他模块）","1.选中资讯底色加深
2.弹出系统日志查看页面，参照UI
3.翻页功能正常",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),日志--搜索,"1.已登录系统级账号
2.已进入资讯管理页面","1.选中一条资讯
2.点击顶部右侧“日志”按钮
3.点击搜索按钮
4.输入内容点击搜索","1.选中资讯底色加深
2.弹出系统日志查看页面，参照UI
3.弹出搜索弹框
4.搜索出符合的日志记录",3,功能测试,功能测试阶段
1,【Java系】金豆云线路管理平台(#9),系统中心(#186),【系统中心】资讯管理：资讯及公告的新建/编辑/删除/查看功能(#586),日志--刷新,"1.已登录系统级账号
2.已进入资讯管理页面","1.选中一条资讯
2.点击顶部右侧“日志”按钮
3.点击“刷新”按钮","1.选中资讯底色加深
2.弹出系统日志查看页面，参照UI
3.获取该条资讯最新操作日志",3,功能测试,功能测试阶段
